TELMEX/SISA Sistema de Búsqueda y Consultas 01/07/13 11:37:11| BELTRAN JESUS OMAR DSFS
Folio|Referencia Servicio|Desc. Articulo|Alcance|Ent. ACO|Cliente|F.Due Date|Fase|Edo|T.P.|F.Edo|F.de Liberación|Contrato|Criticidad|Tipo de Enl|Prioritario|
901985|TKS-0710-0352|Troncales Digitales 64k|Local|ACOSUR|GOBIERNO DEL ESTADO DE MORELOS|01/04/08|OBS||CEQ|24/03/08|15/02/08 14:14|TX-0710-2754-1||Principal||
925144|TKS-0801-0299|Troncales Digitales 64k|Local|ACOPUE|GOBIERNO DEL ESTADO DE MORELOS|19/03/08|OBS||CEQ|24/03/08|15/02/08 09:28|TX-0004-0587-5||Principal||
932314|TKS-0801-0299|Troncales Digitales 64k|Local|ACOSUR|GOBIERNO DEL ESTADO DE MORELOS|04/04/08|BAJ|AFE|CEQ|30/05/13|30/05/13 12:23|TX-0004-0587-6||Principal||
932565|TKS-0710-0352|Troncales Digitales 64k|Local|ACOSUR|GOBIERNO DEL ESTADO DE MORELOS|24/03/08|OBS||MCT|24/11/09|19/11/09 13:38|TX-0710-2754-1||Principal||
1086064|TKS-0710-0352|Troncales Digitales 64k|Local|ACOSUR|GOBIERNO DEL ESTADO DE MORELOS|19/12/09|BAJ|AFE|CEQ|30/05/13|30/05/13 12:24|TX-0710-2754-3||Principal||
1342453|D32-1210-1206|Ladaenlace 2M-G703 Local|Local|ACOPTE|UNINET|21/11/12|BAJ|AFE|CCT|13/06/13|13/06/13 09:26|TX-1210-4738-2|4 |Principal||
1351354|FB4-1212-0022|Ladaenlace F. Ethernet 4m Loc.|Local|ACOSUR|UNINET|30/06/13|ALT|LEA|ALT|11/06/13|21/02/13 10:18|TX-1212-0515|4 |Principal||
1354624|FB6-1212-0025|Ladaenlace F. Ethernet 6m Loc.|Local|ACOSUR|UNINET|07/07/13|ALT|ESA|CMO|26/06/13|08/01/13 14:35|TX-1103-3581-2|4 |Principal||
1356321|F10-1301-0010|Fast Ethernet Local De 10 Mbps|Local|ACOSUR|UNINET|30/06/13|ALT|PPC|ALT|28/06/13|04/01/13 09:26|TX-1301-0219|4 |Principal||
1358977|FB2-1301-0010|Ladaenlace F. Ethernet 2m Loc.|Local|ACOSUR|ORGANIZACION HERPA|09/07/13|ALT|LEA|ALT|26/06/13|17/01/13 14:26|TX-1301-1837|4 |Principal||
1360971|D32-1301-0648|Ladaenlace 2M-G703 Local|Local|ACOSUR|UNINET|01/07/13|ALT|PPC|ALT|10/06/13|28/01/13 11:06|TX-1301-2850|4 |Principal||
1362381|A32-1302-0044|Ladaenlace 2m V35 Local|Local|ACOSUR|UNINET|06/07/13|ALT|ESA|CMO|25/06/13|05/02/13 14:27|TX-0903-3278-1|4 |Principal||
1379596|DID-1304-0298|Serv. De Acceso Directo A Ext.|Local|ACOSUR|MUNICIPIO DE VILLA DEL CARBON MEXICO|13/07/13|ALT|PPU|ALT|10/06/13|29/04/13 16:21|TX-1304-3045||Principal||
1381843|FB4-1304-0149|Ladaenlace F. Ethernet 4m Loc.|Local|ACOPTE|UNINET|02/07/13|ALT|LEA|ALT|21/06/13|29/04/13 16:19|TX-1304-4301|4 |Principal||
1382519|TKS-1305-0021|Troncales Digitales 64k|Local|ACOPTE|INDUSTRIAS PLASTICAS INTERNACIONALES S.A. DE C.V.|10/07/13|ALT|PPU|ALT|19/06/13|02/05/13 18:03|TX-1305-0148||Principal||
1382520|DID-1305-0018|Serv. De Acceso Directo A Ext.|Local|ACOPTE|INDUSTRIAS PLASTICAS INTERNACIONALES S.A. DE C.V.|10/07/13|ALT|PPU|ALT|19/06/13|02/05/13 18:03|TX-1305-0148||Principal||
1383220|C01-1305-0013|Le Carrier Fast Ethernet 10m Local|Local|ACOSUR|UNINET|26/07/13|ALT|LEA|ALT|25/06/13|13/05/13 11:48|TX-1305-0531|4 |||
1384896|TKS-1305-0232|Troncales Digitales 64k|Local|ACOOTE|PODER JUDICIAL DEL ESTADO DE MEXICO|09/07/13|ALT|LEA|ALT|18/06/13|16/05/13 10:07|TX-1305-1948||Principal||
1385881|TKS-1305-0328|Troncales Digitales 64k|Local|ACOPTE|SERVICIOS INTEGRADOS PARA LA INDUSTRIA DE REFRESCOS|10/07/13|ALT|PPU|CNG|11/06/13|16/05/13 12:44|TX-1302-2332-2||Principal||
1385906|C02-1305-0017|Le Carrier Fast Ethernet 20m Local|Local|ACOPTE|UNINET|12/07/13|ALT|LEA|ALT|19/06/13|30/05/13 10:36|TX-1305-2549|4 |Principal||
1386092|D32-1305-0482|Ladaenlace 2M-G703 Local|Local|ACOOTE|UNINET|08/06/13|ALT|PPU|ALT|27/06/13|16/05/13 19:33|TX-1305-2647|4 |Principal||
1386206|TKS-1305-0347|Troncales Digitales 64k|Local|ACOPTE|OPERADORA MAYORISTA SANTA FE S.A. DE C.V.|15/07/13|ALT|PPU|ALT|19/06/13|17/05/13 13:56|TX-1305-2711||Principal||
1386209|DID-1305-0276|Serv. De Acceso Directo A Ext.|Local|ACOPTE|OPERADORA MAYORISTA SANTA FE S.A. DE C.V.|15/07/13|ALT|PPU|ALT|19/06/13|17/05/13 13:56|TX-1305-2711||Principal||
1386399|TKS-1305-0360|Troncales Digitales 64k|Local|ACOOTE|COI CENTRO ONCOLOGICO INTERNACIONAL S.A. DE C.V.|08/07/13|ALT|PPU|ALT|26/06/13|30/05/13 15:21|TX-1305-2826||Principal||
1386482|C01-1305-0048|Le Carrier Fast Ethernet 10m Local|Local|ACOOTE|UNINET|12/07/13|ALT|LEA|ALT|14/06/13|20/05/13 16:46|TX-1305-2876|4 |||
